"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","10 Dec 2025","27506.85","27632.65","27313.15","27358.25"
"NIFTY AUTO","09 Dec 2025","27472.2","27546.85","27116.5","27399.25"
"NIFTY AUTO","08 Dec 2025","27914","27960.05","27503.8","27596.80"
"NIFTY AUTO","05 Dec 2025","27706.2","27957","27663.3","27939.10"
"NIFTY AUTO","04 Dec 2025","27703.4","27866.2","27581.1","27732.70"
"NIFTY AUTO","03 Dec 2025","28014.5","28021.15","27581.2","27643.80"
"NIFTY AUTO","02 Dec 2025","27959.65","28099.65","27908.15","27979.50"
"NIFTY AUTO","01 Dec 2025","27929.3","28075.65","27853.85","27993.00"
"NIFTY AUTO","28 Nov 2025","27627.95","27830.15","27562.65","27774.60"
"NIFTY AUTO","27 Nov 2025","27782.9","27832.6","27527.45","27603.65"
"NIFTY AUTO","26 Nov 2025","27458.35","27742.4","27418.05","27696.40"
"NIFTY AUTO","25 Nov 2025","27444.95","27520.95","27335.55","27378.70"
"NIFTY AUTO","24 Nov 2025","27547.9","27594.75","27391.6","27442.20"
"NIFTY AUTO","21 Nov 2025","27552.8","27720.1","27488.9","27537.85"
"NIFTY AUTO","20 Nov 2025","27564.85","27625","27441.15","27554.00"
"NIFTY AUTO","19 Nov 2025","27386","27521.05","27270.55","27434.45"
"NIFTY AUTO","18 Nov 2025","27483.15","27502.1","27292.5","27368.25"
"NIFTY AUTO","17 Nov 2025","27258.2","27519.05","27116.05","27472.65"
"NIFTY AUTO","14 Nov 2025","27321.35","27444.5","27078.4","27239.80"
"NIFTY AUTO","13 Nov 2025","27443.25","27526.6","27327.2","27382.80"
"NIFTY AUTO","12 Nov 2025","27226.8","27554.2","27137.8","27485.15"
"NIFTY AUTO","11 Nov 2025","26990.6","27174.4","26735.8","27148.25"
"NIFTY AUTO","10 Nov 2025","26772.3","26954.05","26722","26859.85"
"NIFTY AUTO","07 Nov 2025","26594.7","26850.35","26285.35","26779.55"
"NIFTY AUTO","06 Nov 2025","26754.6","26897.1","26555.6","26626.50"
"NIFTY AUTO","04 Nov 2025","26822.95","26826.8","26583.6","26610.05"
"NIFTY AUTO","03 Nov 2025","26849.85","26991.4","26710.3","26841.80"
