"Index Name","Date","Open","High","Low","Close"
"NIFTY AUTO","28 Mar 2024","21222.50","21607.80","21085.85","21419.10"
"NIFTY AUTO","27 Mar 2024","21118.40","21324.75","21088.70","21146.20"
"NIFTY AUTO","26 Mar 2024","21018.50","21177.95","20974.75","21038.30"
"NIFTY AUTO","22 Mar 2024","20706.40","21177.40","20622.80","21046.40"
"NIFTY AUTO","21 Mar 2024","20541.75","20750.40","20472.60","20700.25"
"NIFTY AUTO","20 Mar 2024","20438.45","20618.10","20263.90","20406.45"
"NIFTY AUTO","19 Mar 2024","20398.45","20449.80","20258.10","20354.10"
"NIFTY AUTO","18 Mar 2024","20189.85","20462.70","20102.90","20446.60"
"NIFTY AUTO","15 Mar 2024","20475.60","20523.35","20066.80","20192.30"
"NIFTY AUTO","14 Mar 2024","20235.05","20569.25","20169.85","20514.25"
"NIFTY AUTO","13 Mar 2024","20942.25","20988.55","20211.20","20338.25"
"NIFTY AUTO","12 Mar 2024","20999.30","21077.05","20853.85","20931.85"
"NIFTY AUTO","11 Mar 2024","21213.40","21219.85","20962.00","21001.15"
"NIFTY AUTO","07 Mar 2024","21141.40","21247.55","21004.50","21126.80"
"NIFTY AUTO","06 Mar 2024","21153.35","21229.35","20888.80","21181.30"
"NIFTY AUTO","05 Mar 2024","21003.10","21348.95","20930.40","21121.20"
"NIFTY AUTO","04 Mar 2024","20998.85","21040.35","20824.95","20840.20"
"NIFTY AUTO","02 Mar 2024","20980.25","21006.75","20902.90","20941.95"
"NIFTY AUTO","01 Mar 2024","20485.75","20918.25","20473.30","20871.95"
"NIFTY AUTO","29 Feb 2024","20317.80","20481.75","20230.20","20412.40"
"NIFTY AUTO","28 Feb 2024","20808.40","20830.40","20325.70","20372.35"
"NIFTY AUTO","27 Feb 2024","20633.40","20825.85","20593.00","20788.55"
"NIFTY AUTO","26 Feb 2024","20633.45","20714.45","20537.50","20642.40"
"NIFTY AUTO","23 Feb 2024","20692.80","20711.00","20540.75","20621.35"
"NIFTY AUTO","22 Feb 2024","20341.15","20621.95","20181.00","20584.85"
"NIFTY AUTO","21 Feb 2024","20372.00","20494.10","20192.45","20252.55"
"NIFTY AUTO","20 Feb 2024","20459.35","20480.40","20239.50","20354.25"
"NIFTY AUTO","19 Feb 2024","20514.20","20548.80","20380.90","20481.60"
"NIFTY AUTO","16 Feb 2024","20093.65","20515.05","20074.10","20423.45"
"NIFTY AUTO","15 Feb 2024","19842.65","20029.10","19811.95","19981.70"
"NIFTY AUTO","14 Feb 2024","19300.50","19770.80","19257.10","19716.00"
"NIFTY AUTO","13 Feb 2024","19504.95","19554.00","19235.90","19433.05"
"NIFTY AUTO","12 Feb 2024","19644.00","19653.15","19364.50","19419.60"
"NIFTY AUTO","09 Feb 2024","19709.75","19713.35","19365.20","19576.00"
"NIFTY AUTO","08 Feb 2024","19963.25","19974.55","19607.50","19649.50"
"NIFTY AUTO","07 Feb 2024","19977.75","20033.60","19762.20","19903.80"
"NIFTY AUTO","06 Feb 2024","19731.20","19912.45","19683.90","19903.85"
"NIFTY AUTO","05 Feb 2024","19655.85","19823.35","19529.20","19615.30"
"NIFTY AUTO","02 Feb 2024","19364.00","19563.05","19304.75","19380.50"
"NIFTY AUTO","01 Feb 2024","19351.85","19559.55","19283.35","19328.70"
"NIFTY AUTO","31 Jan 2024","18887.15","19257.10","18861.55","19227.15"
"NIFTY AUTO","30 Jan 2024","18993.65","19123.70","18859.10","18878.35"
"NIFTY AUTO","29 Jan 2024","18631.00","18949.60","18570.75","18927.25"
"NIFTY AUTO","25 Jan 2024","18707.75","18709.10","18434.45","18614.90"
"NIFTY AUTO","24 Jan 2024","18384.60","18632.15","18143.75","18593.70"
"NIFTY AUTO","23 Jan 2024","18649.60","18763.00","18314.15","18361.00"
"NIFTY AUTO","20 Jan 2024","18752.25","18786.75","18592.15","18651.10"
"NIFTY AUTO","19 Jan 2024","18585.05","18708.35","18572.75","18694.60"
"NIFTY AUTO","18 Jan 2024","18402.50","18528.45","18142.50","18496.25"
"NIFTY AUTO","17 Jan 2024","18537.00","18620.00","18413.65","18447.25"
"NIFTY AUTO","16 Jan 2024","18749.10","18865.85","18642.30","18712.70"
"NIFTY AUTO","15 Jan 2024","18796.65","18799.40","18623.60","18765.25"
"NIFTY AUTO","12 Jan 2024","18771.00","18798.75","18588.15","18715.20"
"NIFTY AUTO","11 Jan 2024","18648.50","18826.90","18631.45","18755.10"
"NIFTY AUTO","10 Jan 2024","18565.60","18575.10","18384.45","18559.10"
"NIFTY AUTO","09 Jan 2024","18542.45","18606.15","18402.40","18519.80"
"NIFTY AUTO","08 Jan 2024","18490.65","18556.75","18332.30","18350.20"
"NIFTY AUTO","05 Jan 2024","18378.45","18514.75","18345.20","18406.95"
"NIFTY AUTO","04 Jan 2024","18428.95","18428.95","18296.75","18326.75"
"NIFTY AUTO","03 Jan 2024","18361.30","18395.45","18175.50","18317.50"
"NIFTY AUTO","02 Jan 2024","18651.35","18664.35","18241.00","18339.35"
"NIFTY AUTO","01 Jan 2024","18666.35","18707.80","18565.05","18594.35"
"NIFTY AUTO","29 Dec 2023","18440.80","18719.50","18417.85","18618.20"
"NIFTY AUTO","28 Dec 2023","18244.35","18446.55","18234.75","18408.60"
"NIFTY AUTO","27 Dec 2023","18040.35","18242.85","18009.75","18224.85"
"NIFTY AUTO","26 Dec 2023","17841.90","17977.05","17806.90","17953.55"
"NIFTY AUTO","22 Dec 2023","17627.75","17840.60","17566.85","17778.90"
"NIFTY AUTO","21 Dec 2023","17405.00","17603.55","17294.35","17537.85"
"NIFTY AUTO","20 Dec 2023","18019.10","18038.50","17479.90","17523.55"
"NIFTY AUTO","19 Dec 2023","18112.25","18116.55","17905.10","17932.70"
"NIFTY AUTO","18 Dec 2023","18048.45","18156.10","17969.75","18068.25"
"NIFTY AUTO","15 Dec 2023","18179.20","18182.10","17843.25","18038.25"
