Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2024,1817.45,1831.1,1790.85,1795.85,73057610,654.63
27-MAR-2024,1831.65,1844.45,1803.95,1808.6,143078170,1336.66
26-MAR-2024,1855.2,1860.6,1814.25,1819.05,65765994,485.16
22-MAR-2024,1823.45,1858.8,1821.45,1849.8,84690718,488.1
21-MAR-2024,1818.2,1833.6,1814.35,1826.95,66267245,376.03
20-MAR-2024,1813.55,1813.7,1768.7,1794.85,75107080,490.92
19-MAR-2024,1841.75,1850.75,1793.9,1798.3,68354982,389.66
18-MAR-2024,1827.25,1855,1823.8,1843.5,56775558,366.92
15-MAR-2024,1825.1,1851.9,1794.75,1822.5,94117809,543.87
14-MAR-2024,1775.85,1849.35,1767.3,1823.3,111703199,568.67
13-MAR-2024,1897.7,1917.15,1772.75,1788.35,131715992,837.68
12-MAR-2024,1930.55,1932.4,1877.6,1894.85,89912235,611.77
11-MAR-2024,1997.4,2001.8,1923.3,1930.5,60520102,524.54
07-MAR-2024,1933.75,2000.1,1930.3,1988.35,80697122,767.66
06-MAR-2024,1983.25,1988.7,1907.5,1939.05,71902937,529.3
05-MAR-2024,2011.9,2012.8,1981.6,1989.5,56228525,459.12
04-MAR-2024,2066.65,2067.8,2013.7,2017.15,45661595,422.93
01-MAR-2024,2042.35,2060.05,2015,2019.9,85253443,827.67
29-FEB-2024,2081.5,2083.2,2011.65,2049.95,141300841,1536.13
28-FEB-2024,2153.6,2157.2,2056.25,2068.75,110290155,864.18
27-FEB-2024,2158.25,2167.8,2139.2,2142.8,63250441,613.64
26-FEB-2024,2180.75,2186.75,2150.1,2156.4,69406255,553.87
23-FEB-2024,2154.3,2169.8,2143.85,2164.3,114187682,847.65
22-FEB-2024,2124.05,2139.95,2092.1,2135.2,125540360,895.62
21-FEB-2024,2181.55,2184.6,2110.4,2113.95,244716502,2361.67
20-FEB-2024,2210.5,2264.85,2204.65,2223,318830308,2384.1
19-FEB-2024,2177.3,2188.65,2169.55,2173.65,160666702,802.43
16-FEB-2024,2150.5,2188.1,2148.45,2164.8,301977313,1183.1
