Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
23-DEC-2025,10701.4,10770.65,10674.9,10727.05,165081833,4190.81
22-DEC-2025,10602.45,10721,10575.5,10669,145638366,5264.89
19-DEC-2025,10557.95,10560.25,10456.75,10521.1,112079611,3987.85
18-DEC-2025,10490.25,10585.45,10430.55,10516.15,113892481,4908
17-DEC-2025,10520.8,10551.6,10449.75,10490.15,104250856,4708.92
16-DEC-2025,10527.1,10532.3,10380.7,10464.35,119402006,5017.82
15-DEC-2025,10513.65,10564.95,10477.3,10553.15,118240223,4227
12-DEC-2025,10335.05,10553.15,10331.5,10536.45,211717426,7785.01
11-DEC-2025,10209.4,10273.05,10174.6,10266.85,103645626,3871.04
10-DEC-2025,10133.25,10244.85,10119.35,10159,103435098,4080.64
09-DEC-2025,10126.9,10149.3,9968.4,10112.65,86972140,2905.46
08-DEC-2025,10352.6,10378.55,10109.35,10141.8,92395106,3228.44
05-DEC-2025,10274.5,10366.75,10189.7,10340.35,139237615,4946.38
04-DEC-2025,10324.25,10376,10248.35,10271.45,133569150,5160.52
03-DEC-2025,10340.35,10347.15,10168.35,10265.2,101991987,4024.68
02-DEC-2025,10344.15,10366.2,10292.65,10315.85,98259355,2998.53
01-DEC-2025,10390.9,10418.9,10314.6,10353.2,107599445,3623.09
28-NOV-2025,10300.35,10360.15,10247.1,10293.05,78014488,2987.46
27-NOV-2025,10334.4,10379.6,10211.55,10273.75,78068712,2676.7
26-NOV-2025,10105.65,10289.8,10096.05,10280.7,102603400,3011.97
25-NOV-2025,10039.65,10129.2,10027.9,10073.4,107294330,3312.6
24-NOV-2025,10163.3,10183.9,9997.9,10017.9,107909172,3450.43
21-NOV-2025,10336.5,10336.5,10121.5,10142.55,95730263,2627
20-NOV-2025,10446.7,10454.25,10370.25,10386.05,83571225,2707.77
19-NOV-2025,10386.35,10417.7,10351.25,10384.15,65099035,2012.43
18-NOV-2025,10481.5,10483,10325.6,10383.7,108244744,3470.5
17-NOV-2025,10526.25,10531.5,10446.65,10495.85,81100970,2711.15
14-NOV-2025,10578.4,10578.65,10446.75,10494.75,103917347,3821.3
