Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-04-01,51178.15,51683.85,50742.0,50827.5,176322972,8505.05,51467.015625
2025-04-02,50966.9,51404.2,50908.35,51348.05,149906457,5545.35,51291.95703125
2025-04-03,50910.0,51661.6,50906.65,51597.35,291159558,5960.55,51467.015625
2025-04-04,51711.6,51893.6,51360.4,51502.7,189607641,8445.89,51467.015625
2025-04-07,49336.1,50426.25,49156.95,49860.1,236789593,11587.08,51291.95703125
2025-04-08,50388.55,50793.7,50030.8,50511.0,162259279,9082.76,51467.015625
2025-04-09,50487.1,50496.9,49910.85,50240.15,141787861,7324.09,51642.072265625
2025-04-11,50634.1,51244.7,50634.1,51002.35,139974934,8735.46,51817.12890625
2025-04-15,52299.0,52486.35,51863.3,52379.5,203761353,11819.68,51817.12890625
2025-04-16,52690.9,53164.45,52471.35,53117.75,200504101,10526.17,51817.12890625
2025-04-17,53153.75,54407.2,53084.9,54290.2,294946433,13719.04,51817.130859375
2025-04-21,54891.25,55461.65,54674.95,55304.5,267372839,13622.84,51992.1875
2025-04-22,55414.3,55961.2,55243.55,55647.2,276879053,15645.82,52167.244140625
2025-04-23,56097.1,56098.7,55162.5,55370.05,245520423,11723.19,51817.130859375
2025-04-24,55103.9,55550.45,55088.4,55201.4,233218409,12002.95,51817.12890625
2025-04-25,55233.55,55350.55,54176.45,54664.05,210766304,9679.83,51817.12890625
2025-04-28,54610.3,55577.4,54582.35,55432.8,178630188,7103.46,51992.1875
2025-04-29,55524.35,55957.75,55262.4,55391.25,193903416,8373.38,52342.302734375
2025-04-30,55382.4,55478.25,54723.7,55087.15,193527310,11916.11,52517.359375
2025-05-02,55100.95,55691.95,54994.4,55115.35,154187346,8648.95,52517.359375
2025-05-05,55065.8,55345.5,54786.5,54919.5,139409242,8876.74,52867.474609375
2025-05-06,54918.25,55036.95,54172.95,54271.4,198690472,8440.53,53042.533203125
2025-05-07,54013.4,54684.3,53919.9,54610.9,268883957,9325.72,52692.41796875
2025-05-08,54801.75,54937.25,54108.0,54365.65,302197374,12890.73,52692.41796875
2025-05-09,53595.95,54054.8,53483.05,53595.25,179290315,8109.92,52867.4765625
2025-05-12,54658.75,55466.3,54558.05,55382.85,199594158,8894.5,53042.533203125
2025-05-13,55233.5,55499.65,54888.5,54940.85,190035885,9256.83,53217.58984375
2025-05-14,55008.55,55208.6,54491.0,54801.3,145169571,6288.89,53217.58984375
