Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-04-01,33381.2,33790.35,33190.6,33289.15,303242532,7671.69,33582.62109375
2025-04-02,33321.8,33503.9,32924.55,33463.7,290414242,7459.54,33333.86328125
2025-04-03,33151.9,33596.6,33143.05,33559.8,326358822,7138.3,33333.86328125
2025-04-04,33502.2,33514.45,32109.7,32308.9,411333167,10910.99,33209.482421875
2025-04-07,29810.9,31554.75,29802.2,31414.55,487694492,11810.52,33582.62109375
2025-04-08,32031.15,32204.2,31426.45,31866.75,308062284,9075.02,33458.2421875
2025-04-09,31788.9,31824.15,31422.65,31558.95,288357367,6788.36,33333.86328125
2025-04-11,32250.0,32454.6,31981.2,32411.1,297158898,7483.86,33209.482421875
2025-04-15,33033.25,33182.4,32811.4,33106.55,363467324,8253.05,33582.62109375
2025-04-16,33081.05,33482.3,33004.25,33456.9,289345509,7744.81,33707.001953125
2025-04-17,33432.6,33877.3,33178.95,33797.5,304171321,8562.58,33458.2421875
2025-04-21,33968.5,34711.35,33840.1,34640.75,508264358,9544.33,33582.623046875
2025-04-22,34770.05,34812.9,34453.65,34516.35,396407570,8201.85,33707.001953125
2025-04-23,34685.45,34785.1,34185.8,34755.05,353703052,7770.48,33582.623046875
2025-04-24,34684.05,34842.65,34637.95,34726.75,408375131,7778.7,33582.623046875
2025-04-25,34751.15,34874.05,33599.6,33956.5,449741575,10051.35,33582.62109375
2025-04-28,33944.7,34622.95,33928.4,34538.85,298101679,9806.11,33333.861328125
2025-04-29,34656.9,34889.55,34352.25,34438.75,310696755,10530.96,33333.861328125
2025-04-30,34476.8,34624.15,33991.0,34241.6,371907180,11016.01,33333.86328125
2025-05-02,34206.05,34600.65,33990.6,34138.75,317140260,8215.33,32960.72265625
2025-05-05,34252.5,34639.4,34106.6,34583.6,388374298,12793.51,32960.72265625
2025-05-06,34663.65,34727.0,33670.15,33771.1,306991325,8101.63,32960.72265625
2025-05-07,33231.7,34141.55,33229.35,34048.05,370988361,8814.34,33085.1015625
2025-05-08,34175.6,34354.85,33305.55,33534.75,318807605,9502.05,33085.1015625
2025-05-09,32800.5,33413.05,32791.85,33337.55,336330838,7525.8,33209.482421875
2025-05-12,34260.05,34758.45,34196.15,34734.3,480228848,9299.77,33209.482421875
2025-05-13,34750.85,34894.55,34501.95,34549.25,344382527,8471.52,32960.72265625
2025-05-14,34679.0,35091.35,34604.45,35040.75,370920768,8747.5,32960.72265625
2025-05-15,35130.8,35394.9,34800.5,35362.55,417353740,12656.06,32463.2021484375
2025-05-16,35458.6,35748.4,35332.1,35664.8,459605847,10900.59,32463.2021484375
2025-05-19,35790.3,35959.8,35623.55,35690.85,318981696,7153.37,32338.8203125
2025-05-20,35847.95,35967.6,35382.2,35435.15,391873450,10050.95,32090.060546875
2025-05-21,35531.0,35737.45,35296.3,35647.1,278395125,6490.91,32214.4404296875
2025-05-22,35577.95,35645.3,35072.7,35357.1,289442942,8082.07,31965.6806640625
2025-05-23,35431.25,35707.4,35318.9,35637.9,700701178,8063.71,32214.4404296875
2025-05-26,35873.4,36127.65,35853.0,35882.6,546980375,8027.47,31965.6806640625
