Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-04-01,36422.85,36538.6,35890.4,35980.65,31043045,4841.54,36871.7109375
2025-04-02,36024.45,36368.85,35970.7,36283.5,21620322,3458.29,36871.7109375
2025-04-03,35676.45,35686.55,34642.4,34757.25,38269354,6957.54,36871.7109375
2025-04-04,34224.6,34361.65,33418.65,33511.4,42306935,7777.74,36608.33984375
2025-04-07,31307.95,32835.1,30918.95,32668.8,56219869,9290.5,36608.33984375
2025-04-08,33232.4,33742.85,32859.05,33244.4,42276073,6484.69,36740.025390625
2025-04-09,32710.25,32762.3,32200.25,32517.35,41929049,5372.62,36608.33984375
2025-04-11,32926.65,33210.8,32526.0,32740.85,41380014,7228.59,36476.65625
2025-04-15,33504.15,33520.65,32932.95,33275.3,31534729,4568.82,36740.025390625
2025-04-16,33215.95,33387.45,32867.95,33295.5,35816052,4117.34,37003.39453125
2025-04-17,32832.65,33471.55,32470.95,33372.35,82804558,7192.51,36871.7109375
2025-04-21,33299.6,34528.55,33283.85,34135.05,44704508,6252.36,37003.39453125
2025-04-22,34075.6,34130.3,33789.15,33941.05,37712498,4395.43,37003.39453125
2025-04-23,34700.1,35522.75,34648.45,35414.65,71805916,9648.79,36871.7109375
2025-04-24,35463.6,35572.0,35197.3,35307.1,43553843,6108.2,37003.39453125
2025-04-25,35487.3,35941.45,35068.15,35562.25,46181797,7158.39,36740.025390625
2025-04-28,35541.55,35679.35,35089.75,35482.95,28973047,3706.41,36608.33984375
2025-04-29,35565.75,36157.2,35416.9,35920.4,33732273,4220.55,36871.7109375
2025-04-30,35913.7,36206.55,35440.8,35794.95,32344522,4364.33,36740.025390625
2025-05-02,35868.5,36300.6,35637.4,35891.85,31311163,4166.92,36871.7109375
2025-05-05,36042.6,36352.4,35949.35,35991.25,21175475,2587.6,36608.341796875
2025-05-06,36129.3,36314.2,35778.8,35869.2,21845224,4295.34,36871.708984375
2025-05-07,35479.1,36042.25,35440.65,35920.3,24863436,3651.27,36608.341796875
2025-05-08,35960.95,36240.25,35832.8,36002.45,30708492,4914.18,36740.025390625
2025-05-09,35490.9,35929.3,35488.4,35880.1,22085342,3115.38,36871.708984375
2025-05-12,36656.65,38356.1,36600.75,38282.55,43159289,6369.61,36871.7109375
2025-05-13,38326.4,38326.4,37304.95,37354.6,36649336,5828.32,37003.39453125
2025-05-14,37480.6,37913.8,37379.15,37853.55,21955934,3618.23,37135.078125
2025-05-15,37929.1,38377.35,37456.75,38293.8,37307356,6080.64,37266.763671875
2025-05-16,38351.9,38351.9,37814.9,37972.35,18005482,2853.74,37398.447265625
