Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-04-01,1474.3,1512.0,1473.5,1508.3,45198715,295.79,1468.1468505859375
2025-04-02,1507.1,1523.95,1484.9,1517.55,33317636,196.49,1468.1468505859375
2025-04-03,1499.1,1547.05,1495.45,1534.1,45099810,286.59,1475.4149169921875
2025-04-04,1531.2,1540.45,1471.8,1488.5,47038543,306.85,1482.6829833984375
2025-04-07,1365.65,1438.75,1365.55,1429.9,46215708,324.82,1497.2190551757812
2025-04-08,1457.35,1508.25,1446.95,1497.45,43643374,388.66,1489.9510498046875
2025-04-09,1492.45,1500.75,1466.95,1479.2,27157367,252.07,1497.2191162109375
2025-04-11,1509.35,1514.1,1495.95,1503.8,21624011,225.06,1468.1469116210938
2025-04-15,1520.0,1552.0,1512.7,1548.45,20933968,201.76,1468.1468505859375
2025-04-16,1546.55,1582.35,1541.35,1577.6,35144451,377.14,1475.4149169921875
2025-04-17,1576.7,1588.1,1567.9,1581.15,42673525,286.42,1482.6829833984375
2025-04-21,1584.55,1603.8,1569.35,1596.25,34286870,392.86,1475.4149169921875
2025-04-22,1601.75,1616.85,1590.3,1598.65,34540401,382.74,1453.61083984375
2025-04-23,1609.75,1611.2,1579.2,1597.25,30741931,344.15,1460.8788452148438
2025-04-24,1595.9,1605.4,1589.95,1599.5,22048691,321.88,1468.1469116210938
2025-04-25,1606.9,1607.9,1532.15,1547.75,32700560,374.83,1468.1468505859375
2025-04-28,1538.95,1566.05,1533.55,1559.95,17116526,200.9,1482.6829833984375
2025-04-29,1568.35,1578.4,1544.55,1547.65,29621936,282.97,1482.6829833984375
2025-04-30,1547.0,1549.15,1504.45,1513.9,19893755,241.56,1489.9510498046875
2025-05-02,1518.5,1528.5,1499.75,1521.35,15315555,175.7,1511.755126953125
2025-05-05,1528.95,1534.25,1516.55,1531.1,13159600,142.21,1497.2190551757812
2025-05-06,1529.95,1535.7,1498.3,1508.0,19132778,210.21,1511.755126953125
2025-05-07,1482.9,1526.15,1482.1,1524.0,18426018,304.44,1489.9510498046875
2025-05-08,1526.8,1560.25,1518.35,1527.05,34456249,505.99,1489.9510498046875
2025-05-09,1500.85,1545.7,1495.7,1541.15,48984488,530.25,1460.8788452148438
2025-05-12,1576.0,1598.8,1571.8,1590.1,33868946,499.29,1468.1469116210938
2025-05-13,1590.35,1618.7,1577.15,1616.5,34423199,564.04,1468.1469116210938
