Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Chronos_Predicted
2025-04-01,9015.85,9127.05,8975.55,9016.85,103688407,2429.79,9034.85986328125
2025-04-02,9038.75,9097.6,8932.25,9080.05,100976913,2543.05,9005.4306640625
2025-04-03,9006.2,9083.65,8963.05,9005.15,97060234,2701.53,9093.71875
2025-04-04,8936.95,8945.5,8375.35,8414.45,251623204,5827.34,9123.1484375
2025-04-07,7691.0,7930.8,7690.2,7846.35,290678853,6197.12,9123.1484375
2025-04-08,8080.9,8161.4,7800.85,7965.6,184429012,3910.02,9123.1484375
2025-04-09,7924.85,7924.85,7764.45,7847.5,185779410,3462.83,9123.1484375
2025-04-11,8136.8,8229.0,8031.5,8168.3,176799491,4029.94,9182.00732421875
2025-04-15,8332.4,8446.3,8282.85,8429.85,125013033,2834.58,9240.8662109375
2025-04-16,8427.4,8478.45,8332.8,8454.8,123389766,2629.26,9182.0068359375
2025-04-17,8403.0,8515.9,8348.5,8476.5,132096532,3030.03,9182.0068359375
2025-04-21,8502.75,8674.0,8469.0,8653.5,106598046,2456.73,9152.57763671875
2025-04-22,8759.15,8783.4,8658.5,8669.5,144813346,3297.61,9211.4365234375
2025-04-23,8738.65,8747.65,8589.3,8737.3,130841964,2684.84,9182.0068359375
2025-04-24,8729.5,8793.3,8705.4,8753.3,100776114,2458.96,9064.2890625
2025-04-25,8790.15,8833.75,8487.4,8569.75,162665252,3397.29,9064.2890625
2025-04-28,8554.2,8717.05,8551.15,8689.9,84623553,2146.96,9211.4365234375
2025-04-29,8711.3,8762.4,8596.05,8607.15,79225090,1911.78,9240.8662109375
2025-04-30,8600.85,8666.15,8524.55,8581.8,93091204,2578.8,9240.8662109375
2025-05-02,8590.15,8714.55,8458.6,8518.4,135405628,4042.23,9240.8662109375
2025-05-05,8523.1,8640.7,8505.9,8600.15,68434733,2563.48,9152.57763671875
2025-05-06,8622.1,8655.6,8498.9,8524.7,99801615,2476.54,9182.0068359375
2025-05-07,8428.55,8635.75,8428.2,8608.05,96581063,2374.12,9152.57763671875
2025-05-08,8618.25,8640.25,8378.7,8428.4,101360903,2839.13,9093.71875
2025-05-09,8258.8,8436.1,8256.2,8420.55,89509903,2067.88,9034.85986328125
2025-05-12,8641.9,8925.65,8620.65,8914.25,161696033,4063.42,9034.85986328125
2025-05-13,8907.9,8928.1,8814.8,8834.65,125054962,3242.71,9005.4306640625
2025-05-14,8881.0,9085.05,8881.0,9052.1,191523769,4444.87,9005.4306640625
2025-05-15,9067.1,9223.4,9029.65,9210.05,157007034,4209.21,8976.0009765625
2025-05-16,9222.0,9242.9,9175.95,9201.85,78574081,2402.77,8887.712890625
2025-05-19,9222.1,9251.55,9161.65,9210.75,87197709,2438.97,8917.14208984375
2025-05-20,9285.65,9343.35,9140.35,9156.05,148283405,3569.89,8917.14208984375
2025-05-21,9185.85,9232.3,9124.45,9208.15,105472654,2774.65,8946.5712890625
2025-05-22,9208.55,9234.45,9111.0,9179.65,198975000,4031.64,8858.28271484375
2025-05-23,9205.1,9277.65,9170.75,9249.6,119003276,2832.61,8858.283203125
2025-05-26,9282.9,9379.5,9254.15,9336.45,113914716,3032.23,9005.4306640625
2025-05-27,9338.85,9365.45,9262.95,9294.95,85219733,2289.2,9064.2890625
2025-05-28,9309.0,9321.65,9228.2,9239.5,115499772,2699.96,9093.71875
2025-05-29,9313.75,9378.65,9279.15,9351.65,146004468,5096.57,9034.85986328125
2025-05-30,9351.7,9384.45,9178.75,9193.25,131731946,4077.06,9005.4306640625
2025-06-02,9130.75,9161.2,9047.95,9128.55,112116516,3166.61,9005.4306640625
