Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
23-DEC-2025,39395.8,39398.15,38942.35,39173.7,24052331,3677.15
22-DEC-2025,39023.25,39530.25,39006.4,39488,45612040,6482.97
19-DEC-2025,38991.3,39054.35,38590.25,38691.6,38532939,5772.23
18-DEC-2025,38273.6,38667.35,38248.75,38633.35,23478799,3339.37
17-DEC-2025,37996.95,38367.85,37969.45,38172.05,14753751,2311.74
16-DEC-2025,38262.3,38293.4,37946.75,38062.5,14738591,2559.85
15-DEC-2025,38125.95,38410.7,38042.95,38386.25,13575524,2116.29
12-DEC-2025,38203.85,38300.3,37901.75,38274.75,13887636,2210.86
11-DEC-2025,37925.95,38136.45,37672.4,38097,18786640,3013.96
10-DEC-2025,38273.75,38300.5,37745.25,37789.9,18945220,2650.08
09-DEC-2025,38438.5,38463.95,37908.9,38130.6,25999771,3977.95
08-DEC-2025,38783.4,38937.35,38322.45,38590.7,28400329,4237.41
05-DEC-2025,38500.6,38920.6,38369.55,38703.65,32337332,5508.65
04-DEC-2025,37875.7,38471.6,37847.7,38360.25,39915464,6609.61
03-DEC-2025,37530.85,38007.3,37515,37825.25,40897050,5310.22
02-DEC-2025,37559.4,37734.35,37418.5,37541.25,23187734,3287.17
01-DEC-2025,37476.6,37659.75,37413,37549.7,16440993,2741.93
28-NOV-2025,37488.5,37554.6,37323.45,37405.5,18547314,2658.41
27-NOV-2025,37487.65,37668.55,37208.25,37446.3,22476589,3878.7
26-NOV-2025,36881.95,37407,36881.1,37364.6,23318178,3381.85
25-NOV-2025,37112.1,37124.55,36727.35,36826.9,25870524,3792.06
24-NOV-2025,37084.65,37554.35,36951.8,37037.95,63752072,9652.52
21-NOV-2025,36930.25,37096.25,36761.55,36885.35,28537421,4959.49
20-NOV-2025,37228.05,37278.75,36964.35,37043.3,26300168,4330.07
19-NOV-2025,36062.2,37116.5,36024.45,37044.65,44577620,6706.15
18-NOV-2025,36294.7,36312.95,35914.35,35975.2,24229275,4267.8
17-NOV-2025,36285.2,36406.45,36138.2,36375.2,21426999,3076.3
14-NOV-2025,36392.05,36503,35957.3,36301.25,24976670,3557.75
13-NOV-2025,36937.95,36939.85,36525.4,36679.45,33077446,4892.34
12-NOV-2025,36299.4,36911.95,36290.8,36855.4,40358478,5844.14
11-NOV-2025,35902.9,36149.9,35683.9,36116.9,33843736,5014.62
10-NOV-2025,35246.95,35855.6,35237.2,35688.25,26707511,3483.57
07-NOV-2025,35233.2,35272.55,34732.5,35117.6,21744794,3093.44
