Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
28-MAR-2025,1513.55,1525.35,1469.65,1475.25,60419014,287.64
27-MAR-2025,1486.15,1516.65,1480.95,1509.9,74971258,393.05
26-MAR-2025,1522.45,1533.9,1483.4,1487.35,53393583,269
25-MAR-2025,1557.3,1561.05,1516.05,1524,72134350,321.49
24-MAR-2025,1561.25,1576.4,1544.6,1548.7,48082584,318.36
21-MAR-2025,1517.15,1553.5,1514,1547.7,110650868,630.86
20-MAR-2025,1512.1,1542.25,1510.4,1514.45,68135014,480.56
19-MAR-2025,1485.55,1509.15,1482.5,1496.15,48371233,363.4
18-MAR-2025,1439.75,1485.45,1436.4,1480.15,50638916,373.13
17-MAR-2025,1438.9,1446.1,1424.4,1428.5,36008083,215.1
13-MAR-2025,1462.45,1468.85,1433.9,1437.8,48739385,239.3
12-MAR-2025,1488.2,1495.4,1449.4,1459.75,42115268,207.34
11-MAR-2025,1469.8,1488.4,1458.25,1482.45,41624761,322.94
10-MAR-2025,1488.8,1507.95,1478.35,1485.15,66152421,480.99
07-MAR-2025,1463.55,1503.75,1459.3,1488.95,55136637,390.49
06-MAR-2025,1458.4,1477.15,1457.85,1462.2,32819490,278.38
05-MAR-2025,1400.8,1452.55,1400.75,1448.1,50582266,349.47
04-MAR-2025,1362.35,1408.8,1348,1404.05,47690767,321.39
03-MAR-2025,1391.95,1402.1,1344.4,1371.55,46262873,330.65
28-FEB-2025,1422.7,1428.2,1373.55,1386.85,42194850,354.86
27-FEB-2025,1491.3,1496.05,1428.25,1436.85,30365476,432.06
25-FEB-2025,1478.2,1504.85,1476.05,1490.15,31769414,361.71
24-FEB-2025,1479.65,1488.55,1462,1477.75,36904595,221.78
21-FEB-2025,1509.85,1525.95,1485.45,1492.4,32230369,215.52
20-FEB-2025,1490.55,1512.25,1482.9,1510.1,27770870,179.5
19-FEB-2025,1467.3,1506.8,1460.45,1493.7,63475212,271.45
18-FEB-2025,1481.35,1491.6,1456.9,1472.65,36209919,341.09
17-FEB-2025,1486.25,1500.05,1460.9,1481.6,40938205,300.94
14-FEB-2025,1549.1,1551.5,1482.4,1492.15,28340697,307.79
13-FEB-2025,1537.75,1564.85,1535.3,1544.6,20363249,201.8
12-FEB-2025,1544.05,1550.7,1491.45,1537.05,43474653,414.94
11-FEB-2025,1579.4,1582.7,1530.35,1537.95,27012438,342.37
10-FEB-2025,1604.45,1622.1,1574.3,1583.1,29218806,514.62
07-FEB-2025,1641.7,1647.75,1603.65,1621.75,41656780,436.78
06-FEB-2025,1652.65,1662.85,1625.85,1638.35,20221467,320.27
05-FEB-2025,1623.95,1659.9,1623.95,1650.75,22648027,303.34
04-FEB-2025,1612.25,1625.2,1606.45,1621.65,26604672,289.55
03-FEB-2025,1602.95,1612.9,1580.7,1609.8,32883402,681.79
01-FEB-2025,1584.25,1621.7,1556.95,1615.1,29168425,250.11
31-JAN-2025,1568.1,1586,1562.05,1580.25,29747959,250.04
30-JAN-2025,1591.85,1599.85,1558.85,1566.15,30346035,258.68
29-JAN-2025,1552.15,1587.5,1549.4,1585.4,38805718,334.52
28-JAN-2025,1572.35,1579.6,1523.3,1546.15,53545519,460.94
27-JAN-2025,1630.05,1632.4,1558.7,1565.65,39239355,402.49
24-JAN-2025,1691.15,1695.5,1640.4,1643.4,26339818,286.33
23-JAN-2025,1661,1699.9,1657.25,1687.25,35918450,462.48
22-JAN-2025,1695.7,1697.55,1642.55,1663.25,27919632,317.78
21-JAN-2025,1722.95,1735.65,1690,1693.75,26200138,305.88
20-JAN-2025,1714.1,1722.6,1702.6,1719.4,36644724,567.33
17-JAN-2025,1698.25,1711.2,1688.05,1702.45,25188977,325.16
16-JAN-2025,1705.85,1728.1,1696.35,1698.7,27568556,404.95
15-JAN-2025,1723.25,1728.4,1684.05,1690.65,47141126,392.39
14-JAN-2025,1673,1720.9,1672.95,1713.9,36013911,343.22
13-JAN-2025,1726.5,1750.55,1653.5,1664.5,45600440,434.76
10-JAN-2025,1809.6,1809.75,1739.85,1743.65,49968146,514.91
09-JAN-2025,1823.8,1849.65,1804.2,1808.65,35310635,826.4
08-JAN-2025,1840.3,1843.8,1809.65,1822.65,54478493,727.07
07-JAN-2025,1811.3,1842.55,1785.9,1836.05,39364586,866.36
06-JAN-2025,1860,1870.75,1806.65,1811.35,42120592,1037.87
03-JAN-2025,1835.5,1878.15,1835.5,1861.75,60437594,1308.98
02-JAN-2025,1830.6,1840.8,1826.45,1830.6,20882838,242.07
01-JAN-2025,1816.1,1847.55,1815.5,1832.65,28714578,280.81
31-DEC-2024,1816.35,1823.25,1801.3,1817.85,39402910,206.11
30-DEC-2024,1847.75,1853.85,1815.55,1819.05,29725157,275.31
27-DEC-2024,1847.05,1861.15,1847.05,1853.75,19974872,161.99
26-DEC-2024,1877.85,1883.6,1838.05,1846.75,37966851,304.77
24-DEC-2024,1886.05,1893.9,1868.6,1874.15,23703494,221.24
23-DEC-2024,1901.5,1912.4,1875.55,1880.45,32994770,433.49
20-DEC-2024,1922.65,1939.1,1885.4,1887.9,50223046,496.65
19-DEC-2024,1914.9,1928.3,1906.95,1920.5,31865452,307.03
18-DEC-2024,1974.2,1978.35,1934.75,1937.8,25399004,490.27
17-DEC-2024,1988.7,2019.55,1975.45,1982.1,30241432,613.39
16-DEC-2024,1956.35,1998,1956.1,1981.65,36447159,382.25
13-DEC-2024,1962.35,1965.05,1927.95,1953.25,30450612,304.92
12-DEC-2024,2007.5,2013.3,1959.6,1964.75,33461781,325.76
11-DEC-2024,2029.25,2034.1,2007.45,2010.85,34523590,267.54
10-DEC-2024,2035.55,2043.4,2012.55,2021.25,40569170,377.92
09-DEC-2024,2081.85,2085.2,2032.8,2035.15,37018515,488.82
06-DEC-2024,2087,2088.8,2057.4,2077.05,38977549,534.15
05-DEC-2024,2091.4,2095.65,2061.95,2083.95,46107650,546.33
04-DEC-2024,2079.65,2087.85,2061.3,2083.85,56767141,665.39
03-DEC-2024,2029.5,2073.7,2021.05,2068.3,70743627,825.84
02-DEC-2024,2010.25,2022.05,1999.95,2017.25,43556940,488.71
29-NOV-2024,1994.75,2012.3,1982.85,1996.8,74885680,849.56
28-NOV-2024,1966.35,1993.1,1958.3,1968.35,50958713,371.91
27-NOV-2024,1945,1970.25,1932.45,1962.1,71064245,563.28
26-NOV-2024,1934.55,1948.05,1923.2,1943.1,24881868,350.67
25-NOV-2024,1920,1935.1,1910.9,1927.35,29908162,471.89
22-NOV-2024,1893.4,1902.85,1880.05,1892.6,29490861,340.46
21-NOV-2024,1942.45,1942.65,1892.9,1898.75,31185725,335.35
19-NOV-2024,1909.05,1979.4,1908.3,1945.4,79024333,887.94
18-NOV-2024,1919.45,1924.65,1892.4,1898.95,27319472,320.37
14-NOV-2024,1876.65,1928.35,1876.05,1924.4,36365799,449.85
13-NOV-2024,1913.9,1928.65,1873.95,1881.95,26781414,320.17
12-NOV-2024,1938.7,1962.3,1919.5,1923.5,14875290,272.79
11-NOV-2024,1954.3,1958.2,1931.3,1935.15,21683720,217.4
08-NOV-2024,2000.15,2000.15,1956.7,1960.7,18157175,204.96
07-NOV-2024,2012.65,2028.2,1999.7,2002.6,24885534,308.9
06-NOV-2024,1984.5,2013.8,1979.75,2006.85,17569187,269.18
05-NOV-2024,1974.6,1996.25,1961.75,1978.95,20518348,343.67
04-NOV-2024,2027.45,2027.9,1954.45,1983.55,20155896,560.49
01-NOV-2024,2029.7,2038.25,2020.8,2027.25,5818974,81.94
31-OCT-2024,1985.65,2024.85,1980.3,2019,22263104,421.98
30-OCT-2024,1939.2,1987.7,1935,1982.85,24593163,318.01
29-OCT-2024,1934.2,1942.3,1906.95,1937.6,26036428,339.99
28-OCT-2024,1898.55,1936.2,1892.35,1931.5,25488679,320.83
25-OCT-2024,1938.85,1942.45,1877,1894.35,32098623,382.11
24-OCT-2024,1941.4,1958.9,1931.45,1936.95,21299912,269.26
23-OCT-2024,1928.95,1957,1907.25,1940.2,34067116,435.39
22-OCT-2024,1990.95,1991.65,1926.45,1933.75,41294011,574
21-OCT-2024,2055.1,2063.5,1981.3,1984.35,47384124,586.39
18-OCT-2024,2011,2050.4,1986.4,2042.2,60145884,869.88
17-OCT-2024,2059.95,2065.65,2009.6,2014.4,27274672,396
16-OCT-2024,2064.4,2071.95,2033.55,2059.35,28452800,668.5
15-OCT-2024,2063.25,2087.45,2053.35,2069.3,90280221,1003.8
14-OCT-2024,2088.6,2089.1,2047.35,2056.5,46718363,537.85
11-OCT-2024,2071.8,2094.25,2057.9,2077.25,48792246,474.97
10-OCT-2024,2087.2,2101,2060.65,2064.95,37143014,436.03
09-OCT-2024,2067.7,2090.45,2067.45,2074.4,49919865,559.41
08-OCT-2024,1993.55,2063,1988.7,2057.4,83464574,916.73
07-OCT-2024,2089.45,2095.15,1990.85,1995.3,59246841,591.74
04-OCT-2024,2126.05,2136.45,2063.05,2070.95,51271035,581.35
03-OCT-2024,2140.45,2182.35,2118.45,2126.45,104520522,1144.57
01-OCT-2024,2138.7,2180.6,2130.3,2172.75,95380392,1290.77
30-SEP-2024,2121.25,2142.9,2089.3,2138.5,65965330,1417.25
27-SEP-2024,2147.65,2152.15,2108.1,2114.8,59450738,568.12
26-SEP-2024,2139.7,2158.1,2130.7,2148,94004061,1012.03
25-SEP-2024,2081.9,2155.6,2076.25,2139.25,105758112,1912.5
24-SEP-2024,2082.8,2085.7,2075,2078.1,27071472,352.13
23-SEP-2024,2073.3,2085.65,2065.5,2077.85,37423616,444.07
20-SEP-2024,2063.3,2072.15,2050.05,2062.95,38677272,467.03
19-SEP-2024,2117.95,2121.45,2045.55,2056.1,54402631,781.93
18-SEP-2024,2113.15,2133.75,2094.25,2107.7,34992093,605
17-SEP-2024,2139.7,2143.9,2111.4,2114.05,31585570,513.73
16-SEP-2024,2134.75,2143.9,2123.8,2139.5,46342711,739.29
13-SEP-2024,2104.05,2131.15,2096.85,2118.45,64780179,1440.83
12-SEP-2024,2090.7,2093.5,2075.3,2083.5,31724121,574.77
11-SEP-2024,2113.65,2115.1,2071.8,2075.7,39549572,598.96
10-SEP-2024,2062.1,2115.9,2059.05,2107.35,80771981,1099.42
09-SEP-2024,2060.8,2061.7,2021.9,2052.2,45710124,404.25
06-SEP-2024,2089.1,2095.3,2047.7,2059.9,54511313,543.57
05-SEP-2024,2074.2,2097.8,2068.9,2082.85,46743358,684.64
04-SEP-2024,2053.9,2080.5,2048.1,2066.1,48419383,569.84
03-SEP-2024,2095.4,2103.9,2062,2064.4,50802236,513.31
02-SEP-2024,2112.55,2114,2085.5,2094.55,43909553,401.54
30-AUG-2024,2124.15,2129.9,2098.8,2104.5,77032810,712.46
29-AUG-2024,2130.75,2153.75,2099.1,2112,215467709,1556.46
28-AUG-2024,2158.6,2174.55,2114.8,2118.6,91268150,1235.2
27-AUG-2024,2064.15,2163.6,2062.85,2148.85,155216465,2021.87
26-AUG-2024,2087.6,2087.75,2060.05,2064.3,30733570,379.79
23-AUG-2024,2103.15,2104.35,2064.75,2068.95,36437312,435.72
22-AUG-2024,2113.2,2117.85,2092.2,2096,57215194,569.44
21-AUG-2024,2075.6,2109.9,2071.8,2100.05,77390415,777.66
20-AUG-2024,2088.2,2090.5,2065.95,2075.2,58804934,565.99
19-AUG-2024,2078.65,2106.05,2073.25,2080.75,43315590,595.88
16-AUG-2024,2036.25,2067.65,2035.7,2059.65,34268755,540.11
14-AUG-2024,2048.85,2053.3,2012.15,2017.4,37977903,406.65
13-AUG-2024,2063.75,2073.65,2032.85,2039,60980391,858.86
12-AUG-2024,2090.9,2097.7,2054.6,2058.55,46322132,974.26
09-AUG-2024,2084.85,2109.6,2070.7,2101.65,53520038,693.68
08-AUG-2024,2059.2,2087.9,2045.55,2063.85,49383869,569.33
07-AUG-2024,2030.25,2062.95,2025.35,2058.95,64860127,605.01
06-AUG-2024,2022.9,2054.5,2000.7,2007.25,59975533,626.81
05-AUG-2024,2061.6,2061.6,1993.7,2004.2,72256711,696.99
02-AUG-2024,2091.3,2132.05,2083.95,2100.3,54432745,992.99
01-AUG-2024,2162.25,2167.35,2105.85,2109.15,69195610,796.55
31-JUL-2024,2132.05,2169.25,2130.55,2149.7,132201931,1384.39
30-JUL-2024,2117.15,2137.45,2113.7,2127,75903377,658.37
29-JUL-2024,2083.05,2124.65,2082.2,2113.05,99398163,978.02
26-JUL-2024,2048.75,2093.65,2045.2,2075.65,86664133,771.03
25-JUL-2024,2018.25,2065.8,2007.8,2041.4,87486345,712.94
24-JUL-2024,1976.35,2029.75,1974.9,2025.05,63767378,572.64
23-JUL-2024,1955.6,1981.85,1887.45,1976.3,59034947,538.58
22-JUL-2024,1936.75,1978.2,1936.6,1953.7,45127712,516.13
19-JUL-2024,2006.75,2014.25,1958.25,1962.95,51718605,500.54
18-JUL-2024,2046.8,2046.8,2000.15,2009.65,104162384,1258.03
16-JUL-2024,2114.9,2124.15,2080.05,2084.05,64441571,664.81
15-JUL-2024,2084.75,2118.05,2070.3,2105.8,110037211,960.55
12-JUL-2024,2043.9,2091.1,2042.6,2074.15,77756836,1431.51
11-JUL-2024,2012.45,2036.45,2011.95,2031.9,31200408,560.89
10-JUL-2024,2055.8,2057.3,1983.3,2011.15,40920539,422.81
09-JUL-2024,2042.2,2069.35,2042,2047.25,49574616,486.13
08-JUL-2024,2051.35,2064.7,2028.35,2039.95,43692654,422.31
05-JUL-2024,2051.85,2056.4,2035.05,2047.55,44325546,466.62
04-JUL-2024,2059.35,2062.7,2037.95,2044.9,40461808,442.36
03-JUL-2024,2074.8,2078.15,2049.65,2054.1,59599599,597.42
02-JUL-2024,2051.95,2077.75,2043.45,2062.05,123115480,976.65
01-JUL-2024,1999.05,2049,1998.05,2040.6,56238681,1045.02
28-JUN-2024,2007.85,2013.9,1986.25,1992.35,44196873,648.1
27-JUN-2024,2035.65,2044.4,1987.9,1996.2,104462629,1587.16
26-JUN-2024,2002.9,2039.15,1994.65,2023.45,81811340,1015.64
25-JUN-2024,2016.8,2024.45,1989.35,1991.5,41197375,589.14
24-JUN-2024,2035.9,2036.2,1999.35,2001.6,43281084,524.13
21-JUN-2024,2024.4,2059,2019.55,2039.65,66464529,738.12
20-JUN-2024,2024.55,2036.6,2016.95,2020.5,39695600,457.69
19-JUN-2024,2055.55,2057.7,2002.25,2018.2,61385877,659.08
18-JUN-2024,2067.8,2071.1,2037.6,2044.6,47711037,463.68
14-JUN-2024,2064.35,2067.6,2049.95,2057.85,55709409,512.41
13-JUN-2024,2089.4,2091.15,2048.65,2058.55,81703943,919.7
12-JUN-2024,2051.4,2093.3,2050.9,2081.2,154466101,1332.53
11-JUN-2024,2018.55,2047.05,2010.45,2042.55,68712834,973.52
10-JUN-2024,1980.95,2011.5,1964.45,2007.4,69666676,892.07
07-JUN-2024,1949.55,1978.1,1938.9,1970.65,47429791,637.06
06-JUN-2024,1901.8,1954.55,1900.45,1942.35,69295384,1209.3
05-JUN-2024,1836.8,1885.25,1796.6,1873.4,50749291,723.28
04-JUN-2024,1934.3,1935.65,1717.4,1802,84101608,1044.44
03-JUN-2024,1948.85,1950,1903.25,1929.05,70405901,1020.51
31-MAY-2024,1908.35,1912.4,1864.85,1870.4,42631121,400.03
30-MAY-2024,1882.55,1918.5,1880.25,1896.85,56615646,838.83
29-MAY-2024,1879.45,1907,1870.3,1887.75,46857617,527.48
28-MAY-2024,1882.15,1898.4,1851.85,1884.45,63500850,1175.3
27-MAY-2024,1901.35,1906.5,1870.15,1878.6,66313407,931.43
24-MAY-2024,1883.75,1906.15,1872.6,1897,63248985,567.07
23-MAY-2024,1877.2,1886.2,1855.55,1877.4,45895458,605.37
22-MAY-2024,1868.85,1875.5,1835.65,1870.9,49517755,469.43
21-MAY-2024,1836.75,1864.6,1820.35,1857.35,50622081,653.9
18-MAY-2024,1832.2,1842.8,1830.1,1834.35,15637306,188.38
17-MAY-2024,1797.6,1815.3,1795.95,1811.8,31985139,280.34
16-MAY-2024,1781.05,1798.5,1778.15,1794.15,36080337,343.27
15-MAY-2024,1789.5,1795.7,1767.5,1772.45,64829156,386.7
14-MAY-2024,1776.5,1801.2,1774.2,1781.5,39501517,490.59
13-MAY-2024,1779.45,1782.15,1742.95,1768.55,35898156,300.11
10-MAY-2024,1773.95,1785.6,1748.65,1772.4,50367614,477.27
09-MAY-2024,1804.6,1808.65,1760.95,1768.4,71600201,599
08-MAY-2024,1785.45,1810.4,1774.8,1800.6,40531496,393.55
07-MAY-2024,1813.35,1828.65,1772.3,1784.95,74311275,597.31
06-MAY-2024,1864.05,1865.05,1806.65,1811.15,52932582,505.91
03-MAY-2024,1873.9,1881.4,1833.65,1851.1,56235129,400.82
02-MAY-2024,1896.05,1900.65,1860.45,1862.95,34564358,311.48
30-APR-2024,1920.85,1931.6,1887.05,1892.8,34685956,357.66
29-APR-2024,1921,1937.95,1909.05,1912.35,57579534,653.78
26-APR-2024,1896.55,1927.1,1894.15,1910.95,58649812,794.11
25-APR-2024,1889.65,1898.85,1875.8,1888.6,58619278,613.15
24-APR-2024,1894.5,1901.8,1872.7,1879.6,76496087,562.7
23-APR-2024,1879.5,1891.6,1875.45,1885,53448992,379.12
22-APR-2024,1887.2,1894.3,1870.05,1875.1,32580450,307.06
19-APR-2024,1866.95,1875.65,1849.9,1870.35,50871703,396.67
18-APR-2024,1898.6,1911.4,1883.95,1889.55,63421785,580.35
16-APR-2024,1827.4,1888.7,1826.85,1875.15,47799329,489.29
15-APR-2024,1862.35,1865.05,1822.05,1846.1,47482551,432.88
12-APR-2024,1916.55,1919.65,1886.25,1888.25,37111027,504.26
10-APR-2024,1887.5,1915,1875.55,1911.35,45519269,614.45
09-APR-2024,1913.95,1914.1,1869.45,1877.6,37630547,389.94
08-APR-2024,1931.6,1936.7,1896.15,1901.5,40292486,357.3
05-APR-2024,1925.1,1926.7,1903.5,1916.25,54071864,323.06
04-APR-2024,1942.85,1945.15,1913.6,1923.8,65161978,377.61
03-APR-2024,1926.95,1947.75,1918.45,1925.85,149670335,802.41
02-APR-2024,1891.5,1922,1881.45,1914.9,96502535,834.06
01-APR-2024,1816.6,1885.75,1812.85,1880.05,78552361,580.29
